"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.7","1381.5","13.8","71.3","581.0","4.1","1.1","301.7"
"Bijan Robinson","ATL","RB2","289.5","1426.5","9.5","79.3","735.9","3.5","1.8","290.3"
"Jonathan Taylor","IND","RB3","326.6","1504.6","12.9","42.9","341.5","1.5","1.7","267.2"
"Christian McCaffrey","SF","RB4","269.4","1093.6","8.7","78.4","694.0","4.6","1.1","256.4"
"Derrick Henry","BAL","RB5","314.0","1568.8","13.4","18.1","175.1","0.7","1.7","255.6"
"James Cook III","BUF","RB6","287.7","1405.1","10.3","33.3","283.7","1.9","2.4","237.3"
"De'Von Achane","MIA","RB7","238.3","1199.8","6.0","65.3","491.1","4.0","1.0","227.1"
"Saquon Barkley","PHI","RB8","295.8","1299.1","8.2","41.7","330.4","2.1","1.0","222.9"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1539.0","9.0","1.0","222.8"
"Ashton Jeanty","LV","RB9","281.0","1105.2","8.0","58.7","414.6","3.3","1.1","218.0"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.2","1511.6","10.6","1.0","214.8"
"Chase Brown","CIN","RB10","238.5","1036.8","7.8","63.8","427.6","4.0","1.1","214.8"
"Josh Jacobs","GB","RB11","273.9","1101.6","11.7","35.3","280.0","1.2","1.3","213.3"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1569.4","9.2","1.1","213.2"
"Kenneth Walker III","KC","RB12","262.5","1191.4","8.7","45.8","353.1","1.2","0.9","212.2"
"Kyren Williams","LAR","RB13","240.2","1118.4","10.1","33.8","239.6","2.2","1.5","206.4"
"Omarion Hampton","LAC","RB14","243.7","1035.1","9.5","50.2","342.8","1.9","1.0","204.0"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.4","1390.9","10.5","0.4","202.5"
"Javonte Williams","DAL","RB15","256.2","1160.0","10.4","33.0","192.0","1.2","1.6","201.1"
"Jeremiyah Love","ARI","RB16","237.2","1068.9","7.2","54.7","423.1","2.1","2.2","200.7"
"Breece Hall","NYJ","RB17","249.0","1113.2","6.2","46.4","404.6","2.3","1.7","199.0"
"Cam Skattebo","NYG","RB18","240.0","1000.1","8.1","44.0","350.0","2.5","1.6","195.3"
"D'Andre Swift","CHI","RB19","233.1","1053.4","8.0","35.1","303.5","1.0","1.0","188.3"
"Travis Etienne Jr.","NO","RB20","245.3","1040.0","5.4","44.8","353.4","3.0","1.0","187.8"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1327.6","9.1","1.0","185.4"
"Bucky Irving","TB","RB21","256.1","1019.7","6.1","39.9","336.7","2.2","1.0","183.8"
"Quinshon Judkins","CLE","RB22","289.2","1105.3","8.1","31.3","218.8","0.6","0.9","182.8"
"Bhayshul Tuten","JAC","RB23","239.4","979.6","8.2","29.2","222.1","2.1","2.2","178.1"
"CeeDee Lamb","DAL","WR6","2.4","12.6","0.0","97.5","1295.8","7.5","0.3","175.5"
"Rashee Rice","KC","WR7","5.4","25.6","0.9","99.1","1101.0","9.7","0.6","175.0"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.9","1310.9","7.1","0.3","173.9"
"George Pickens","DAL","WR9","0.3","0.0","0.0","82.5","1200.5","8.4","0.4","169.5"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","87.7","1221.7","7.7","0.3","167.5"
"Nico Collins","HOU","WR11","1.4","8.3","0.4","82.5","1210.2","7.3","0.8","165.9"
"David Montgomery","HOU","RB24","231.5","959.7","7.7","30.8","228.7","0.5","1.5","165.1"
"Chris Olave","NO","WR12","0.3","0.0","0.0","94.4","1183.4","7.9","0.3","165.0"
"Jadarian Price","SEA","RB25","215.5","913.2","8.0","26.0","220.1","1.1","2.0","163.6"
