"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","491.9","333.4","3816.5","27.4","11.2","118.1","586.0","11.8","4.1","372.5"
"Lamar Jackson","BAL","448.9","292.0","3651.9","28.3","9.6","118.4","639.7","3.2","4.2","324.9"
"Drake Maye","NE","499.5","343.3","4027.0","28.0","10.4","99.3","493.0","3.7","5.6","323.0"
"Jayden Daniels","WAS","492.8","322.3","3681.3","23.8","11.0","130.0","685.7","4.7","2.8","322.6"
"Jalen Hurts","PHI","488.0","316.9","3570.2","24.2","7.4","111.8","461.3","8.4","4.0","320.5"
"Joe Burrow","CIN","591.0","395.4","4175.0","33.3","11.6","48.2","178.6","1.4","1.9","310.9"
"Jaxson Dart","NYG","510.0","324.7","3591.5","22.3","11.1","100.9","549.1","6.5","2.9","310.0"
"Brock Purdy","SF","547.6","369.7","4156.9","27.7","14.3","70.5","304.1","3.8","4.3","307.5"
"Trevor Lawrence","JAC","546.0","336.1","3908.5","27.0","13.0","72.5","321.9","4.9","3.4","306.2"
"Dak Prescott","DAL","581.4","384.1","4291.9","30.9","11.3","49.1","173.4","1.7","2.8","306.2"
""
""
