"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","96.6","1026.9","7.5","0.2","147.5"
"Trey McBride","ARI","108.9","1051.1","6.8","0.2","145.3"
"Colston Loveland","CHI","79.1","927.5","6.7","0.2","132.3"
"Tyler Warren","IND","79.0","878.1","5.5","0.3","120.2"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","116.9"
"Kyle Pitts Sr.","ATL","79.5","880.9","4.7","0.1","116.2"
"Dallas Goedert","PHI","65.5","688.9","7.6","0.2","113.9"
"Sam LaPorta","DET","70.4","813.9","5.5","0.2","113.7"
"Harold Fannin Jr.","CLE","78.7","816.3","5.4","0.8","112.5"
"George Kittle","SF","66.3","753.4","5.7","0.2","109.4"
"Mark Andrews","BAL","59.7","618.5","7.7","0.3","107.5"
"Travis Kelce","KC","74.9","785.7","4.8","0.3","107.1"
"Dalton Kincaid","BUF","57.1","706.8","5.5","0.2","103.1"
"Isaiah Likely","NYG","62.8","745.2","5.0","1.3","102.2"
"Hunter Henry","NE","55.6","645.2","5.1","0.1","94.8"
"Jake Ferguson","DAL","73.9","606.4","5.9","1.4","93.5"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","91.7"
"Juwan Johnson","NO","64.7","730.4","3.3","1.3","90.0"
"Dalton Schultz","HOU","65.8","628.7","3.4","0.2","82.7"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","81.2"
"Terrance Ferguson","LAR","37.3","516.8","4.8","0.2","80.1"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","79.0"
"Kenyon Sadiq","NYJ","49.7","546.6","4.1","0.7","77.6"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","76.7"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","75.8"
"Cade Otton","TB","54.8","557.8","3.1","0.1","74.1"
"Chig Okonkwo","WAS","52.8","569.8","2.8","0.1","73.4"
"Oronde Gadsden II","LAC","40.4","509.2","3.2","0.6","68.8"
"Darren Waller","CAR","37.4","392.8","4.3","0.1","65.1"
